# #R,Rnorm,kurR,nu
5.100000000000000000e+01,2.475247524752475226e-01,-5.953693322075520600e-01,4.781204601218153050e-01
5.300000000000000000e+01,2.574257425742574323e-01,-4.102697607643527311e-01,4.725835307943319075e-01
5.500000000000000000e+01,2.673267326732673421e-01,-2.180361578591557548e-01,4.669903917655328640e-01
5.700000000000000000e+01,2.772277227722772519e-01,-6.441976625138395862e-02,4.613692606565393262e-01
5.900000000000000000e+01,2.871287128712871062e-01,7.314534084421292492e-02,4.557305572541098249e-01
6.100000000000000000e+01,2.970297029702970160e-01,1.630659790097394590e-01,4.501165367502427128e-01
6.300000000000000000e+01,3.069306930693069257e-01,2.280800723052537338e-01,4.445143648220135635e-01
6.500000000000000000e+01,3.168316831683168355e-01,2.512227787563058312e-01,4.389608751297828793e-01
6.700000000000000000e+01,3.267326732673267453e-01,2.468771654096199308e-01,4.334334011193851088e-01
6.900000000000000000e+01,3.366336633663366551e-01,2.104816198872550004e-01,4.279534457061591191e-01
7.100000000000000000e+01,3.465346534653465094e-01,1.475510265203872351e-01,4.224974168018716392e-01
7.300000000000000000e+01,3.564356435643564192e-01,6.249987262620688988e-02,4.170690563963043163e-01
7.500000000000000000e+01,3.663366336633663289e-01,-4.408392458197686603e-02,4.116474011064578664e-01
7.700000000000000000e+01,3.762376237623762387e-01,-1.619795328623703234e-01,4.062210019035976116e-01
7.900000000000000000e+01,3.861386138613861485e-01,-2.908440530684392455e-01,4.007717600659869150e-01
8.100000000000000000e+01,3.960396039603960583e-01,-4.177893609663739793e-01,3.952786249874553071e-01
8.300000000000000000e+01,4.059405940594059681e-01,-5.405997639480163430e-01,3.897260321670557581e-01
8.500000000000000000e+01,4.158415841584158223e-01,-6.475068967341370829e-01,3.840902941391910463e-01
8.700000000000000000e+01,4.257425742574257321e-01,-7.356149705880374867e-01,3.783591029049595544e-01
8.900000000000000000e+01,4.356435643564356419e-01,-7.977753141841810169e-01,3.725127396327893026e-01
9.100000000000000000e+01,4.455445544554455517e-01,-8.327023561738177149e-01,3.665438244036924309e-01
9.300000000000000000e+01,4.554455445544554615e-01,-8.391700613262386144e-01,3.604412208777090232e-01
9.500000000000000000e+01,4.653465346534653713e-01,-8.184417953295632930e-01,3.542040274144320211e-01
9.700000000000000000e+01,4.752475247524752255e-01,-7.738647323455344340e-01,3.478314256687675132e-01
9.900000000000000000e+01,4.851485148514851353e-01,-7.085447846958852214e-01,3.413294755349128851e-01
1.010000000000000000e+02,4.950495049504950451e-01,-6.278806765643959453e-01,3.347066878019909208e-01
1.030000000000000000e+02,5.049504950495049549e-01,-5.356794301612795017e-01,3.279751760308973751e-01
1.050000000000000000e+02,5.148514851485148647e-01,-4.373427546217140693e-01,3.211499323534416361e-01
1.070000000000000000e+02,5.247524752475247745e-01,-3.366721068574098363e-01,3.142470057386402282e-01
1.090000000000000000e+02,5.346534653465346842e-01,-2.380206692350859687e-01,3.072842130808008942e-01
1.110000000000000000e+02,5.445544554455445940e-01,-1.448620597245665054e-01,3.002786549541890393e-01
1.130000000000000000e+02,5.544554455445545038e-01,-6.009787130871840216e-02,2.932474442330484377e-01
1.150000000000000000e+02,5.643564356435643026e-01,1.349183245746146328e-02,2.862056915489152864e-01
1.170000000000000000e+02,5.742574257425742124e-01,7.466640029628744679e-02,2.791671630352534073e-01
1.190000000000000000e+02,5.841584158415841221e-01,1.219719679758903691e-01,2.721425016806066077e-01
1.210000000000000000e+02,5.940594059405940319e-01,1.559523397627819719e-01,2.651409043840533553e-01
1.230000000000000000e+02,6.039603960396039417e-01,1.771862982208263493e-01,2.581673281395412967e-01
1.250000000000000000e+02,6.138613861386138515e-01,1.877831505467814077e-01,2.512267728577148862e-01
1.270000000000000000e+02,6.237623762376237613e-01,1.906672505202928469e-01,2.443189951831130913e-01
1.290000000000000000e+02,6.336633663366336711e-01,1.886660456157610299e-01,2.374464394016493063e-01
1.310000000000000000e+02,6.435643564356435808e-01,1.866076848427178636e-01,2.306058601058600388e-01
1.330000000000000000e+02,6.534653465346534906e-01,1.866872604917984291e-01,2.237992483315712211e-01
1.350000000000000000e+02,6.633663366336634004e-01,1.944773554011991756e-01,2.170238009914572663e-01
1.370000000000000000e+02,6.732673267326733102e-01,2.103346816035596423e-01,2.102825864285737256e-01
