# Raios,IR,IRerr,LR,IRM 
7.100000000000000000e+01,1.885660737752914429e-01,2.615499682724475861e-02,9.975397460937500000e+03,6.874369416950933953e-01
7.300000000000000000e+01,1.785634756088256836e-01,2.593442238867282867e-02,1.013910449218750000e+04,6.609585718505540664e-01
7.500000000000000000e+01,1.682921797037124634e-01,2.309926971793174744e-02,1.028574023437500000e+04,6.355106724976830046e-01
7.700000000000000000e+01,1.594543755054473877e-01,2.276453934609889984e-02,1.042973730468750000e+04,6.113203976723228239e-01
7.900000000000000000e+01,1.512298285961151123e-01,2.212239056825637817e-02,1.057040527343750000e+04,5.882251126008625208e-01
8.100000000000000000e+01,1.452410519123077393e-01,2.337895892560482025e-02,1.070513085937500000e+04,5.670390836047989325e-01
8.300000000000000000e+01,1.379564553499221802e-01,2.636588923633098602e-02,1.083933984375000000e+04,5.467786442569612104e-01
8.500000000000000000e+01,1.318184286355972290e-01,2.651775442063808441e-02,1.097141992187500000e+04,5.275989382964655361e-01
8.700000000000000000e+01,1.255495399236679077e-01,2.680971659719944000e-02,1.110144335937500000e+04,5.095911571895800352e-01
8.900000000000000000e+01,1.186602488160133362e-01,2.694551832973957062e-02,1.122741308593750000e+04,4.925384113155297228e-01
9.100000000000000000e+01,1.131244674324989319e-01,2.717355079948902130e-02,1.135046679687500000e+04,4.762500229461251178e-01
9.300000000000000000e+01,1.046500578522682190e-01,2.315026335418224335e-02,1.146563574218750000e+04,4.606708080753545986e-01
9.500000000000000000e+01,9.907492995262145996e-02,2.251982130110263824e-02,1.157590234375000000e+04,4.457070053807947185e-01
9.700000000000000000e+01,9.292799979448318481e-02,2.228788100183010101e-02,1.168256250000000000e+04,4.313136860370671011e-01
9.900000000000000000e+01,8.809626847505569458e-02,2.359844371676445007e-02,1.178449609375000000e+04,4.178010385644898017e-01
1.010000000000000000e+02,8.200234174728393555e-02,2.243815362453460693e-02,1.188283398437500000e+04,4.048665752768313419e-01
1.030000000000000000e+02,7.739417999982833862e-02,2.166117541491985321e-02,1.198317480468750000e+04,3.924534880686283977e-01
1.050000000000000000e+02,7.252753525972366333e-02,2.104715257883071899e-02,1.207283593750000000e+04,3.804385182296590173e-01
1.070000000000000000e+02,6.785099953413009644e-02,2.076809667050838470e-02,1.215748632812500000e+04,3.690573228135814454e-01
1.090000000000000000e+02,6.370452046394348145e-02,1.957683637738227844e-02,1.224021875000000000e+04,3.579011330409356817e-01
1.110000000000000000e+02,5.836850032210350037e-02,1.973740570247173309e-02,1.231700390625000000e+04,3.472610986001860578e-01
1.130000000000000000e+02,5.501580238342285156e-02,1.849035546183586121e-02,1.238959960937500000e+04,3.371594853831605398e-01
1.150000000000000000e+02,5.139783024787902832e-02,1.912839151918888092e-02,1.245977636718750000e+04,3.273805503872277423e-01
1.170000000000000000e+02,4.833246394991874695e-02,1.859042048454284668e-02,1.252569335937500000e+04,3.179432774742359524e-01
1.190000000000000000e+02,4.461390897631645203e-02,1.855072751641273499e-02,1.258867773437500000e+04,3.089549338431993308e-01
1.210000000000000000e+02,4.199911281466484070e-02,1.858516968786716461e-02,1.264874511718750000e+04,3.001814347767401414e-01
1.230000000000000000e+02,3.924251347780227661e-02,1.905865408480167389e-02,1.270627636718750000e+04,2.918433636636386663e-01
1.250000000000000000e+02,3.627440705895423889e-02,1.874213293194770813e-02,1.275985644531250000e+04,2.837730778452685620e-01
1.270000000000000000e+02,3.419166058301925659e-02,1.847395300865173340e-02,1.281198632812500000e+04,2.759776479434128960e-01
1.290000000000000000e+02,3.209726884961128235e-02,1.816826313734054565e-02,1.285989160156250000e+04,2.685241820292434967e-01
1.310000000000000000e+02,3.051798790693283081e-02,1.891562342643737793e-02,1.290632617187500000e+04,2.614363070851986048e-01
1.330000000000000000e+02,2.859850414097309113e-02,1.910514011979103088e-02,1.295398925781250000e+04,2.544238290840125649e-01
1.350000000000000000e+02,2.714682742953300476e-02,1.937267929315567017e-02,1.300083398437500000e+04,2.478331995953906020e-01
1.370000000000000000e+02,2.528154850006103516e-02,1.913832500576972961e-02,1.304385058593750000e+04,2.415259524115375978e-01
1.390000000000000000e+02,2.354995720088481903e-02,1.892133615911006927e-02,1.308332519531250000e+04,2.353031400905093440e-01
1.410000000000000000e+02,2.200759015977382660e-02,1.942787505686283112e-02,1.312150488281250000e+04,2.293488233729374937e-01
1.430000000000000000e+02,2.025549486279487610e-02,1.826506480574607849e-02,1.315514648437500000e+04,2.235786890391577020e-01
1.450000000000000000e+02,1.953310705721378326e-02,1.858238875865936279e-02,1.318733886718750000e+04,2.179977661413304013e-01
1.470000000000000000e+02,1.830593124032020569e-02,1.920534297823905945e-02,1.321967285156250000e+04,2.125793630752809971e-01
1.490000000000000000e+02,1.752768456935882568e-02,1.871240511536598206e-02,1.325377343750000000e+04,2.074500060652068323e-01
1.510000000000000000e+02,1.590765267610549927e-02,1.752084679901599884e-02,1.328384375000000000e+04,2.024513259163301104e-01
1.530000000000000000e+02,1.482943724840879440e-02,1.749737188220024109e-02,1.331101757812500000e+04,1.975925181564142097e-01
1.550000000000000000e+02,1.410412229597568512e-02,1.860455051064491272e-02,1.333676269531250000e+04,1.929396836889141209e-01
1.570000000000000000e+02,1.394166611135005951e-02,1.795048452913761139e-02,1.336274121093750000e+04,1.883774276945063275e-01
1.590000000000000000e+02,1.282537542283535004e-02,1.791095733642578125e-02,1.338550976562500000e+04,1.839831454713830305e-01
1.610000000000000000e+02,1.117038819938898087e-02,1.795247942209243774e-02,1.340915429687500000e+04,1.797570150795619048e-01
1.630000000000000000e+02,1.130909752100706100e-02,1.783699356019496918e-02,1.342991796875000000e+04,1.756738955728076590e-01
1.650000000000000000e+02,1.058622170239686966e-02,1.797209307551383972e-02,1.345125000000000000e+04,1.716727927100084317e-01
1.670000000000000000e+02,9.992188774049282074e-03,1.826914213597774506e-02,1.347207031250000000e+04,1.678532576531565901e-01
1.690000000000000000e+02,9.431350976228713989e-03,1.753276400268077850e-02,1.349050000000000000e+04,1.641419671971577343e-01
1.710000000000000000e+02,8.576486259698867798e-03,1.809788122773170471e-02,1.350836914062500000e+04,1.605329856159458946e-01
1.730000000000000000e+02,8.906896226108074188e-03,1.855565980076789856e-02,1.352812695312500000e+04,1.570572584097637558e-01
1.750000000000000000e+02,7.723742630332708359e-03,1.854966767132282257e-02,1.354881152343750000e+04,1.537471236375732020e-01
1.770000000000000000e+02,8.140580728650093079e-03,1.965044252574443817e-02,1.356699804687500000e+04,1.504752392594913557e-01
1.790000000000000000e+02,8.460044860839843750e-03,1.947501860558986664e-02,1.358479296875000000e+04,1.473356937274275247e-01
1.810000000000000000e+02,8.981592953205108643e-03,2.202158048748970032e-02,1.360783300781250000e+04,1.443480286388443834e-01
